efeo_syllable,turkic_segments,p
houa,qan,0.0481
houa,qar,0.0288
houai,qa,0.4135
houai,Ga,0.1058
houai,Gu,0.0673
houai,qi,0.0673
houai,qan,0.0481
houai,qar,0.0288
houei,qa,0.4135
houei,Ga,0.1058
houei,Gu,0.0673
houei,qi,0.0673
houei,qan,0.0481
houei,qar,0.0288
i,r,0.5766
i,a,0.1971
i,n,0.0219
i,e,0.0219
i,gaq,0.0146
i,ort,0.0146
ii,r,0.5766
ii,a,0.1971
ii,n,0.0219
ii,e,0.0219
ii,gaq,0.0146
ii,ort,0.0146
in,r,0.5766
in,a,0.1971
in,n,0.0219
in,e,0.0219
in,gaq,0.0146
in,ort,0.0146
iou,r,0.5766
iou,a,0.1971
iou,n,0.0219
iou,e,0.0219
iou,gaq,0.0146
iou,ort,0.0146
k',qu,0.1111
k',ki,0.101
k',ke,0.101
k',kun,0.0808
k',k,0.0606
k',qi,0.0404
k'ai,qu,0.1111
k'ai,ki,0.101
k'ai,ke,0.101
k'ai,kun,0.0808
k'ai,k,0.0606
k'ai,qi,0.0404
k'an,qu,0.1111
k'an,ki,0.101
k'an,ke,0.101
k'an,kun,0.0808
k'an,k,0.0606
k'an,qi,0.0404
k'ao,qu,0.1111
k'ao,ki,0.101
k'ao,ke,0.101
k'ao,kun,0.0808
k'ao,k,0.0606
k'ao,qi,0.0404
k'i,ki,0.4762
k'i,qi,0.1905
k'i,tki,0.0476
k'i,pin,0.0476
k'i,ngg,0.0476
k'i,igi,0.0476
k'ien,qu,0.1111
k'ien,ki,0.101
k'ien,ke,0.101
k'ien,kun,0.0808
k'ien,k,0.0606
k'ien,qi,0.0404
k'in,qu,0.1111
k'in,ki,0.101
k'in,ke,0.101
k'in,kun,0.0808
k'in,k,0.0606
k'in,qi,0.0404
k'iu,qu,0.1111
k'iu,ki,0.101
k'iu,ke,0.101
k'iu,kun,0.0808
k'iu,k,0.0606
k'iu,qi,0.0404
k'o,ke,0.4348
k'o,e,0.1739
k'o,gge,0.0435
k'o,ge,0.0435
k'o,lce,0.0435
k'o,M,0.0435
k'ou,qu,0.3438
k'ou,k,0.1875
k'ou,kur,0.125
k'ou,qo,0.0938
k'ou,ko,0.0625
k'ou,kes,0.0312
k'ouan,qu,0.1111
k'ouan,ki,0.101
k'ouan,ke,0.101
k'ouan,kun,0.0808
k'ouan,k,0.0606
k'ouan,qi,0.0404
k'ouen,kun,0.6667
k'ouen,kôn,0.0833
k'ouen,Gum,0.0833
k'ouen,ciq,0.0833
k'ouen,un,0.0833
kai,ki,0.175
kai,gu,0.1
kai,u,0.075
kai,gi,0.075
kai,gil,0.05
kai,Guc,0.05
kan,ki,0.175
kan,gu,0.1
kan,u,0.075
kan,gi,0.075
kan,gil,0.05
kan,Guc,0.05
keng,ki,0.175
keng,gu,0.1
keng,u,0.075
keng,gi,0.075
keng,gil,0.05
keng,Guc,0.05
ki,ki,0.6364
ki,gi,0.2727
ki,git,0.0909
kien,ki,0.175
kien,gu,0.1
kien,u,0.075
kien,gi,0.075
kien,gil,0.05
kien,Guc,0.05
kin,gil,0.4
kin,gin,0.4
kin,kin,0.2
ko,ki,0.175
ko,gu,0.1
ko,u,0.075
ko,gi,0.075
ko,gil,0.05
ko,Guc,0.05
kong,ki,0.175
kong,gu,0.1
kong,u,0.075
kong,gi,0.075
kong,gil,0.05
kong,Guc,0.05
kou,gu,0.2857
kou,u,0.2143
kou,Guc,0.1429
kou,egu,0.0714
kou,kut,0.0714
kou,daG,0.0714
kouan,ki,0.175
kouan,gu,0.1
kouan,u,0.075
kouan,gi,0.075
kouan,gil,0.05
kouan,Guc,0.05
kouen,ki,0.175
kouen,gu,0.1
kouen,u,0.075
kouen,gi,0.075
kouen,gil,0.05
kouen,Guc,0.05
la,la,0.2093
la,ra,0.186
la,raq,0.1395
la,laq,0.0698
la,le,0.0465
la,lap,0.0465
lan,lan,0.4
lan,ral,0.2
lan,lem,0.2
lan,ang,0.2
lang,la,0.0682
lang,ri,0.0682
lang,ra,0.0606
lang,i,0.0606
lang,raq,0.0455
lang,luk,0.0379
lc,la,0.0682
lc,ri,0.0682
lc,ra,0.0606
lc,i,0.0606
lc,raq,0.0455
lc,luk,0.0379
lci,la,0.0682
lci,ri,0.0682
lci,ra,0.0606
lci,i,0.0606
lci,raq,0.0455
lci,luk,0.0379
lcou,la,0.0682
lcou,ri,0.0682
lcou,ra,0.0606
lcou,i,0.0606
lcou,raq,0.0455
lcou,luk,0.0379
li,ri,0.2432
li,i,0.1892
li,liG,0.1351
li,li,0.0811
li,liq,0.0811
li,l,0.0541
liai,la,0.0682
liai,ri,0.0682
liai,ra,0.0606
liai,i,0.0606
liai,raq,0.0455
liai,luk,0.0379
lie,la,0.0682
lie,ri,0.0682
lie,ra,0.0606
lie,i,0.0606
lie,raq,0.0455
lie,luk,0.0379
lien,la,0.0682
lien,ri,0.0682
lien,ra,0.0606
lien,i,0.0606
lien,raq,0.0455
lien,luk,0.0379
lin,rin,0.4444
lin,lin,0.3333
lin,in,0.1111
lin,ing,0.1111
long,la,0.0682
long,ri,0.0682
long,ra,0.0606
long,i,0.0606
long,raq,0.0455
long,luk,0.0379
lou,luk,0.1786
lou,lu,0.1429
lou,luq,0.1071
lou,luG,0.0714
lou,ruG,0.0714
lou,up,0.0714
louen,la,0.0682
louen,ri,0.0682
louen,ra,0.0606
louen,i,0.0606
louen,raq,0.0455
louen,luk,0.0379
ma,ma,0.5217
ma,maq,0.1304
ma,maG,0.087
ma,mek,0.087
ma,mat,0.0435
ma,eme,0.0435
man,man,0.4286
man,men,0.2857
man,mu,0.1429
man,mel,0.1429
mao,ma,0.1935
mao,mu,0.1613
mao,mi,0.1452
mao,mek,0.0645
mao,man,0.0484
mao,maq,0.0484
mi,mi,0.7273
mi,umi,0.0909
mi,nii,0.0909
mi,tmi,0.0909
mien,ma,0.1935
mien,mu,0.1613
mien,mi,0.1452
mien,mek,0.0645
mien,man,0.0484
mien,maq,0.0484
min,ma,0.1935
min,mu,0.1613
min,mi,0.1452
min,mek,0.0645
min,man,0.0484
min,maq,0.0484
ming,ma,0.1935
ming,mu,0.1613
ming,mi,0.1452
ming,mek,0.0645
ming,man,0.0484
ming,maq,0.0484
mo,mek,0.4
mo,moG,0.2
mo,it,0.2
mo,meg,0.2
mou,mu,0.6923
mou,umu,0.1538
mou,mut,0.0769
mou,m,0.0769
na,na,0.6429
na,ne,0.0714
na,gne,0.0714
na,naG,0.0714
na,n,0.0714
na,naq,0.0714
nga,al,0.3182
nga,ai,0.2955
nga,oG,0.0455
nga,amt,0.0455
nga,a,0.0455
nga,Gai,0.0227
ngai,ai,0.8125
ngai,a,0.125
ngai,Gai,0.0625
ngan,al,0.7647
ngan,amt,0.1176
ngan,en,0.0588
ngan,ell,0.0588
ngao,oG,0.2222
ngao,qâv,0.1111
ngao,oGl,0.1111
ngao,zoq,0.1111
ngao,uqG,0.1111
ngao,noq,0.1111
ngo,al,0.3182
ngo,ai,0.2955
ngo,oG,0.0455
ngo,amt,0.0455
ngo,a,0.0455
ngo,Gai,0.0227
ni,ni,0.3333
ni,oni,0.3333
ni,nni,0.1667
ni,qni,0.1667
ning,nin,0.8
ning,i,0.2
nou,na,0.3103
nou,nin,0.1379
nou,ni,0.069
nou,oni,0.069
nou,ne,0.0345
nou,gne,0.0345
nouan,na,0.3103
nouan,nin,0.1379
nouan,ni,0.069
nouan,oni,0.069
nouan,ne,0.0345
nouan,gne,0.0345
ong,r,0.5766
ong,a,0.1971
ong,n,0.0219
ong,e,0.0219
ong,gaq,0.0146
ong,ort,0.0146
ou,r,0.5766
ou,a,0.1971
ou,n,0.0219
ou,e,0.0219
ou,gaq,0.0146
ou,ort,0.0146
p'an,r,0.059
p'an,s,0.0353
p'an,qa,0.031
p'an,i,0.0252
p'an,a,0.0216
p'an,Ga,0.0209
p'ing,r,0.059
p'ing,s,0.0353
p'ing,qa,0.031
p'ing,i,0.0252
p'ing,a,0.0216
p'ing,Ga,0.0209
pa,ba,0.75
pa,be,0.0714
pa,b,0.0714
pa,bat,0.0357
pa,paq,0.0357
pa,baq,0.0357
pai,ba,0.1982
pai,bi,0.1622
pai,bu,0.1532
pai,bol,0.1441
pai,b,0.0631
pai,pi,0.0541
pan,bol,0.9286
pan,ban,0.0714
pi,bi,0.6667
pi,pi,0.2222
pi,biq,0.0741
pi,lbi,0.037
ping,ba,0.1982
ping,bi,0.1622
ping,bu,0.1532
ping,bol,0.1441
ping,b,0.0631
ping,pi,0.0541
po,ba,0.1982
po,bi,0.1622
po,bu,0.1532
po,bol,0.1441
po,b,0.0631
po,pi,0.0541
pon,ba,0.1982
pon,bi,0.1622
pon,bu,0.1532
pon,bol,0.1441
pon,b,0.0631
pon,pi,0.0541
pou,bu,0.4857
pou,b,0.1429
pou,bo,0.1143
pou,bol,0.0857
pou,bul,0.0571
pou,ut,0.0286
qay'in,r,0.5766
qay'in,a,0.1971
qay'in,n,0.0219
qay'in,e,0.0219
qay'in,gaq,0.0146
qay'in,ort,0.0146
sa,sa,0.6923
sa,zat,0.1538
sa,saq,0.0769
sa,sap,0.0769
sai,si,0.2708
sai,sa,0.1875
sai,san,0.0625
sai,se,0.0625
sai,soG,0.0625
sai,s,0.0417
san,si,0.2708
san,sa,0.1875
san,san,0.0625
san,se,0.0625
san,soG,0.0625
san,s,0.0417
si,si,0.7857
si,sib,0.0714
si,sig,0.0714
si,zit,0.0714
sien,si,0.2708
sien,sa,0.1875
sien,san,0.0625
sien,se,0.0625
sien,soG,0.0625
sien,s,0.0417
sin,si,0.2708
sin,sa,0.1875
sin,san,0.0625
sin,se,0.0625
sin,soG,0.0625
sin,s,0.0417
sing,si,0.2708
sing,sa,0.1875
sing,san,0.0625
sing,se,0.0625
sing,soG,0.0625
sing,s,0.0417
siue,si,0.2708
siue,sa,0.1875
siue,san,0.0625
siue,se,0.0625
siue,soG,0.0625
siue,s,0.0417
so,si,0.2708
so,sa,0.1875
so,san,0.0625
so,se,0.0625
so,soG,0.0625
so,s,0.0417
song,si,0.2708
song,sa,0.1875
song,san,0.0625
song,se,0.0625
song,soG,0.0625
song,s,0.0417
sou,si,0.2708
sou,sa,0.1875
sou,san,0.0625
sou,se,0.0625
sou,soG,0.0625
sou,s,0.0417
souan,si,0.2708
souan,sa,0.1875
souan,san,0.0625
souan,se,0.0625
souan,soG,0.0625
souan,s,0.0417
souen,si,0.2708
souen,sa,0.1875
souen,san,0.0625
souen,se,0.0625
souen,soG,0.0625
souen,s,0.0417
souo,si,0.2708
souo,sa,0.1875
souo,san,0.0625
souo,se,0.0625
souo,soG,0.0625
souo,s,0.0417
sseu,z,0.5
sseu,s,0.3889
sseu,ez,0.0185
sseu,uz,0.0185
sseu,kuz,0.0185
sseu,gu,0.0185
t,di,0.211
t,ti,0.1101
t,tu,0.0642
t,ta,0.0642
t,tun,0.055
t,du,0.0459
t'a,ta,0.2727
t'a,t,0.1818
t'a,taG,0.1818
t'a,ter,0.1818
t'a,te,0.0909
t'a,tar,0.0909
t'an,tun,0.2093
t'an,tu,0.1395
t'an,t,0.1163
t'an,ta,0.0698
t'an,te,0.0465
t'an,taG,0.0465
t'eng,tun,0.2093
t'eng,tu,0.1395
t'eng,t,0.1163
t'eng,ta,0.0698
t'eng,te,0.0465
t'eng,taG,0.0465
t'i,tun,0.2093
t'i,tu,0.1395
t'i,t,0.1163
t'i,ta,0.0698
t'i,te,0.0465
t'i,taG,0.0465
t'ie,tun,0.2093
t'ie,tu,0.1395
t'ie,t,0.1163
t'ie,ta,0.0698
t'ie,te,0.0465
t'ie,taG,0.0465
t'ing,tun,0.2093
t'ing,tu,0.1395
t'ing,t,0.1163
t'ing,ta,0.0698
t'ing,te,0.0465
t'ing,taG,0.0465
t'o,tun,0.2093
t'o,tu,0.1395
t'o,t,0.1163
t'o,ta,0.0698
t'o,te,0.0465
t'o,taG,0.0465
t'ong,tun,0.2093
t'ong,tu,0.1395
t'ong,t,0.1163
t'ong,ta,0.0698
t'ong,te,0.0465
t'ong,taG,0.0465
t'ou,tu,0.4444
t'ou,to,0.2222
t'ou,tob,0.1111
t'ou,t,0.1111
t'ou,tut,0.1111
t'ouan,tun,0.2093
t'ouan,tu,0.1395
t'ouan,t,0.1163
t'ouan,ta,0.0698
t'ouan,te,0.0465
t'ouan,taG,0.0465
t'ouei,tun,0.2093
t'ouei,tu,0.1395
t'ouei,t,0.1163
t'ouei,ta,0.0698
t'ouei,te,0.0465
t'ouei,taG,0.0465
t'ouen,tun,0.7273
t'ouen,tu,0.1818
t'ouen,on,0.0909
ta,ta,0.4667
ta,nda,0.2667
ta,gda,0.1333
ta,qta,0.0667
ta,i,0.0667
tan,di,0.211
tan,ti,0.1101
tan,tu,0.0642
tan,ta,0.0642
tan,tun,0.055
tan,du,0.0459
tao,di,0.211
tao,ti,0.1101
tao,tu,0.0642
tao,ta,0.0642
tao,tun,0.055
tao,du,0.0459
tch',c,0.35
tch',ca,0.175
tch',ce,0.075
tch',ci,0.075
tch',nc,0.05
tch',caq,0.05
tch'a,ca,0.5455
tch'a,caq,0.1818
tch'a,S,0.0909
tch'a,ce,0.0909
tch'a,e,0.0909
tch'an,c,0.35
tch'an,ca,0.175
tch'an,ce,0.075
tch'an,ci,0.075
tch'an,nc,0.05
tch'an,caq,0.05
tch'ao,c,0.35
tch'ao,ca,0.175
tch'ao,ce,0.075
tch'ao,ci,0.075
tch'ao,nc,0.05
tch'ao,caq,0.05
tch'e,c,0.5909
tch'e,ci,0.1364
tch'e,nc,0.0455
tch'e,cli,0.0455
tch'e,cke,0.0455
tch'e,cip,0.0455
tch'en,c,0.35
tch'en,ca,0.175
tch'en,ce,0.075
tch'en,ci,0.075
tch'en,nc,0.05
tch'en,caq,0.05
tch'o,c,0.35
tch'o,ca,0.175
tch'o,ce,0.075
tch'o,ci,0.075
tch'o,nc,0.05
tch'o,caq,0.05
tchan,ci,0.4
tchan,cu,0.12
tchan,c,0.12
tchan,i,0.08
tchan,Gci,0.08
tchan,uci,0.08
tche,ci,0.45
tche,c,0.15
tche,i,0.1
tche,Gci,0.1
tche,uci,0.1
tche,ciG,0.05
tche'e,ci,0.4
tche'e,cu,0.12
tche'e,c,0.12
tche'e,i,0.08
tche'e,Gci,0.08
tche'e,uci,0.08
tchen,ci,0.4
tchen,cu,0.12
tchen,c,0.12
tchen,i,0.08
tchen,Gci,0.08
tchen,uci,0.08
tcheng,ci,0.4
tcheng,cu,0.12
tcheng,c,0.12
tcheng,i,0.08
tcheng,Gci,0.08
tcheng,uci,0.08
tchou,ci,0.4
tchou,cu,0.12
tchou,c,0.12
tchou,i,0.08
tchou,Gci,0.08
tchou,uci,0.08
tctie,di,0.211
tctie,ti,0.1101
tctie,tu,0.0642
tctie,ta,0.0642
tctie,tun,0.055
tctie,du,0.0459
tdi,di,0.211
tdi,ti,0.1101
tdi,tu,0.0642
tdi,ta,0.0642
tdi,tun,0.055
tdi,du,0.0459
tdie,di,0.211
tdie,ti,0.1101
tdie,tu,0.0642
tdie,ta,0.0642
tdie,tun,0.055
tdie,du,0.0459
teng,di,0.211
teng,ti,0.1101
teng,tu,0.0642
teng,ta,0.0642
teng,tun,0.055
teng,du,0.0459
tf,di,0.211
tf,ti,0.1101
tf,tu,0.0642
tf,ta,0.0642
tf,tun,0.055
tf,du,0.0459
ti,di,0.46
ti,ti,0.24
ti,tig,0.1
ti,ldi,0.04
ti,i,0.04
ti,diG,0.02
tien,di,0.211
tien,ti,0.1101
tien,tu,0.0642
tien,ta,0.0642
tien,tun,0.055
tien,du,0.0459
ting,din,0.4
ting,tin,0.3
ting,ing,0.1
ting,tim,0.1
ting,dim,0.1
to,di,0.211
to,ti,0.1101
to,tu,0.0642
to,ta,0.0642
to,tun,0.055
to,du,0.0459
tong,di,0.211
tong,ti,0.1101
tong,tu,0.0642
tong,ta,0.0642
tong,tun,0.055
tong,du,0.0459
tou,tu,0.5
tou,du,0.2857
tou,duk,0.1429
tou,utu,0.0714
touan,di,0.211
touan,ti,0.1101
touan,tu,0.0642
touan,ta,0.0642
touan,tun,0.055
touan,du,0.0459
touen,tun,0.8571
touen,dun,0.1429
ts'ai,r,0.059
ts'ai,s,0.0353
ts'ai,qa,0.031
ts'ai,i,0.0252
ts'ai,a,0.0216
ts'ai,Ga,0.0209
ts'an,r,0.059
ts'an,s,0.0353
ts'an,qa,0.031
ts'an,i,0.0252
ts'an,a,0.0216
ts'an,Ga,0.0209
ts'ien,r,0.059
ts'ien,s,0.0353
ts'ien,qa,0.031
ts'ien,i,0.0252
ts'ien,a,0.0216
ts'ien,Ga,0.0209
tsch'a,si,0.1538
tsch'a,zuq,0.1538
tsch'a,zun,0.1538
tsch'a,caq,0.0769
tsch'a,zum,0.0769
tsch'a,un,0.0769
tschen,si,0.1538
tschen,zuq,0.1538
tschen,zun,0.1538
tschen,caq,0.0769
tschen,zum,0.0769
tschen,un,0.0769
tsi,si,0.4
tsi,usi,0.2
tsi,azi,0.2
tsi,Gsi,0.2
tsou,si,0.1538
tsou,zuq,0.1538
tsou,zun,0.1538
tsou,caq,0.0769
tsou,zum,0.0769
tsou,un,0.0769
tsouen,si,0.1538
tsouen,zuq,0.1538
tsouen,zun,0.1538
tsouen,caq,0.0769
tsouen,zum,0.0769
tsouen,un,0.0769
tur,di,0.211
tur,ti,0.1101
tur,tu,0.0642
tur,ta,0.0642
tur,tun,0.055
tur,du,0.0459
u'ou,r,0.5766
u'ou,a,0.1971
u'ou,n,0.0219
u'ou,e,0.0219
u'ou,gaq,0.0146
u'ou,ort,0.0146
wa,u,0.3778
wa,o,0.2
wa,ong,0.1111
wa,ot,0.0667
wa,on,0.0667
wa,utl,0.0222
wan,u,0.3778
wan,o,0.2
wan,ong,0.1111
wan,ot,0.0667
wan,on,0.0667
wan,utl,0.0222
wei,u,0.3778
wei,o,0.2
wei,ong,0.1111
wei,ot,0.0667
wei,on,0.0667
wei,utl,0.0222
wen,u,0.3778
wen,o,0.2
wen,ong,0.1111
wen,ot,0.0667
wen,on,0.0667
wen,utl,0.0222
wong,ong,1.0
wou,u,0.4848
wou,o,0.2727
wou,ot,0.0909
wou,utl,0.0303
wou,igo,0.0303
wou,iGu,0.0303
y,Ga,0.1417
y,i,0.126
y,Gi,0.0709
y,Gan,0.0551
y,Gil,0.0551
y,Gu,0.0472
ya,Ga,0.4571
ya,Gaq,0.1714
ya,GaG,0.1714
ya,G,0.0571
ya,Gat,0.0571
ya,iGâ,0.0286
yang,Gan,0.8333
yang,Ga,0.1667
ye,Ga,0.1417
ye,i,0.126
ye,Gi,0.0709
ye,Gan,0.0551
ye,Gil,0.0551
ye,Gu,0.0472
yen,Gal,0.25
yen,Gen,0.25
yen,Gan,0.25
yen,Gun,0.125
yen,Gel,0.125
yi,i,0.4667
yi,Gi,0.2333
yi,Git,0.1
yi,it,0.0333
yi,GiG,0.0333
yi,Uig,0.0333
yin,Gil,0.375
yin,Gin,0.25
yin,in,0.25
yin,il,0.125
ying,Gil,0.4
ying,Gin,0.2
ying,ing,0.2
ying,in,0.2
yo,Ga,0.1417
yo,i,0.126
yo,Gi,0.0709
yo,Gan,0.0551
yo,Gil,0.0551
yo,Gu,0.0472
yong,Ga,0.1417
yong,i,0.126
yong,Gi,0.0709
yong,Gan,0.0551
yong,Gil,0.0551
yong,Gu,0.0472
you,Ga,0.1417
you,i,0.126
you,Gi,0.0709
you,Gan,0.0551
you,Gil,0.0551
you,Gu,0.0472
yu,Gu,0.2273
yu,u,0.1818
yu,Go,0.1364
yu,Gur,0.0909
yu,od,0.0455
yu,GuG,0.0455
yuan,Ga,0.1417
yuan,i,0.126
yuan,Gi,0.0709
yuan,Gan,0.0551
yuan,Gil,0.0551
yuan,Gu,0.0472
yun,Ga,0.1417
yun,i,0.126
yun,Gi,0.0709
yun,Gan,0.0551
yun,Gil,0.0551
yun,Gu,0.0472
yuzz,Ga,0.1417
yuzz,i,0.126
yuzz,Gi,0.0709
yuzz,Gan,0.0551
yuzz,Gil,0.0551
yuzz,Gu,0.0472
