idx,gloss,chinese,uyghur_variants
39,商議,肯克失都,kəngkəxtük (kəngəxtür) | käŋkäštük | kängäštük
40,差遣,永設,yumxap | yumšap | yumšap
41,怠惰,襖酸省答,osol semdaḳ osul sïmdaq osul sïmtaɣ
42,許,靄丁,ayden | aydïm | aitïm
43,參政,參政,sangjem | saŋčïm | saŋčïm
44,祖,阿卜更,abukəng | abuqïŋ | äbügäŋ
46,深,塔林,təring | täriŋ | täriŋ
47,豆蔻,苦兒思闌,ḳurslang | qurslaŋ | qurslaŋ
48,獅子,阿兒思闌設兒,arslaŋ šir | arslaŋ šer
49,升,以申,ixing | išiŋ | išiŋ
50,藍,傘克力,səngkəri | säŋkäri | säŋgäri
51,千,民,ming | miŋ | miŋ
52,千秋,民曲思,ming küz
53,參政,參政,sangjem | saŋčïm | saŋčïm
54,土,秃伯喇,topraḳ | topraq | topraq
55,土產,秃伯喇尺黑祿兒,topraḳ qeġelar topraq čïqïlur | topraq čïqïlur
56,婦,阿伯尺,abqe äbči | äpči
57,惱,傲伯克喇,ɵpkələp | öpkäläp | öpkäläp
58,動,得伯喇,təbrəp | täbräp | täbräp
59,終,搠伯的,qɵptik | čöptik | čöptig
60,嚴,傲伯克力,ɵpkəlip | öpkälip | öpkälip
61,刮風,烟得伯喇,yəl təbrətti | yïl täbrätti | yäl täbrätdi
62,勞逸,得伯剌失孤,təbrəxkü | täbräškü | täbräšigü
63,湯瓶,阿卜察麻,abqam-a | abčam-a | abčam-a
65,玉湯瓶,哈失阿卜察麻,ḳax abqam-a | qaš abčam-a qaš abčam-a
66,橋,苦祿,kɵprɵk | köprük | köprüg
67,碟,得失,təpxi | täpši | täpši
68,愛軍,扯力泥膽喇,qərik-ni təbləp | čärik-ni täbläp čärig-ni taplap
69,橋,苦祿,kɵprɵk | köprük | köprüg
70,看,苦祿,kɵrüp | körüp | körüp
72,弟,以泥,ini | ini | ini
74,家小,阿魯公,aylu küng | aylu küŋ | ilüküŋ = älüküŋ
75,加陞,那麻都兒,namaptur | namaptur | nämäptür
76,花椒,呀兒麻,yarma | yarma | yarma
77,興起,土兒苦蘇,turġuzup | turɣuzup | turɣuzup
78,水,蘇,suw | suw | suv
79,生,土庫,tuġup (<tuḳ+up) tuɣup(<tuq+up)
80,河,兀庫思,ɵgüz | ögüz ögüz
81,硃砂,洗省乞兒,sipsingkir | sipsiŋkir | sibsiŋgir
82,醋,洗兒克,sirkə | sirkä | sirkä
83,史,土尺烟,tupqeyan | tupčïyan | tobčïyan
84,九,土庫思,toġuz | toɣuz | toquz
85,均平,倘叔,tangxap | täŋšäp | täŋšäp
86,傳流,土都蘇,tudusu | tudusu | tutuzu
88,福祿,卜烟課,buyan ḳut | buyan qut | buyan qut
89,騎坐,母奴都兒,münüptür | münüptür | münüptür
90,應,阿夕,aset | asït | asït
91,胡妄,把剌,balamut | balamut | balamut
92,西天,昂答克,əndəkə | ändäkä | äntkä
93,六十,俺的密,altmex | altmïš | altmïš
94,七十,以的密,yitmix | yitmiš | yitmiš
95,報捷者,聽以庫兒庫即,til yitkürküsi | til yitkürgüši | til yitkürgüši
96,慶賀,欵祿喇尊,qutluɣlasun
97,火,傲,oot | oot | oot
98,廚房,阿失力傲,axleḳ au | ašlïq aw | ašlïq äv
99,天曉,湯阿的,tang atte | taŋ attï | taŋ atdï
100,高,阿的思,adez adïz | ädiz
101,天黑,卜兒孤,bürküt boldï | bürküt boldï
102,腸,以扯孤,iqəkü ičäkü ičägü
103,秤,把蠻,batman | batman | batman
104,城,把力,baleḳ balïq balïq
105,幼,以几,yigit | yigit yigit
106,舊,阿思几,əski | äski | äski
107,鴉鶻石,呀庫塔失,yaḳut tax | yaqut taš | yaqut taš
108,鳥,庫失,ḳux | quš | quš
109,寄放,阿麻,amat amat amat
110,花椒,呀兒麻,yarma | yarma | yarma
111,至今,俺的黑以斤察,amtï-qï yitginčä
112,遠,以喇,yeraḳ yïraq yïraq
113,卧,呀,yat | yat | yat-
114,近,呀恨,yaḳen yaqïn yaqïn
116,福祿,卜烟課,buyan ḳut | buyan qut | buyan qut
118,四,秃兒,tɵrt | tört | tört
119,獸,克葉,kəyik käyik käyik
120,驢,以設,ixək | išäk | išäk
121,熱,以夕板的,isik (eseḳ) bolde | isig boldï | isig boldï
122,塞,速密失,soḳmex | soqmïš | suqmïš
124,貴,把克剌,bəkələkü | bäglägü | bäglägü
125,池,訓麻,kɵlmək kölmäk | kölmäk
126,郡縣,靄麻,aymaḳ | aymaq | aimaq
127,諸,哈麻,ḳamaḳ | qamaq | qamaɣ
128,花,扯扯,qəqək čäčäk čäčäk
129,夜,克扯,kəqə qäčä käčä
130,椿,暑怒,sünük sünük šünük
132,烏木,阿必怒思,abenuz | abïnuz | abïnus
133,乳牛,以那,inək | inäk | inäk
134,穀,苦那,ḳonaḳ qonaq qonaq
135,妙,撒那尺,sanaḳqeḳ | sanaqčïq | sanaɣčïɣ
136,母,阿那,ana | ana | ana
137,胸,苦酸,kɵksɵm | köksüm | köksüm
138,大門,把都哈必,bədük ḳabe bödük qabï | bädük qapï
139,十分,阿兒都,artuḳ artuq artuq
140,井,苦都,ḳuduḳ | quduq | quduɣ
141,宮,兀兒都,ordo ordu ordu
142,誇獎,襖,ɵkti | ökti | ögdi
143,子,襖力,oġle (<oġul + e) | oɣlï | oɣlï
144,怠惰,襖酸省答,osol semdaḳ osul sïmdaq osul sïmtaɣ
145,九月,土蒜尺哀,toġ(u)zunq ay toɣ(u)zunč ay | toqzunč ai
146,盔,土祿哈,tuḳluḳ-a | yuqluq-a | tuɣluɣ-a
147,騸馬,阿答,aġta | aɣta | aqta
148,阿魯骨馬,阿魯骨馬,arġumaḳ | arɣumaq | ar-ɣumaq
149,剪絨,馬木兒,maqmur
150,霧,馬南,manan | manan | manan
151,師,把失,baḳxe baqšï baqšï
152,園圃,把卜兒祿,baḳ burluḳ | baɣ burluɣ | baɣ borluq
153,智者,傲古只,uḳḳuqe | uqqučï | uqɣučï
154,箭,傲,oḳ | oq | oq
155,好人,呀失起失,yaḳxe kixi | yaqšï kiši | yaqšï kiši
156,雨,呀木兒,yaġmur | yaɣmur | yaɣmur
157,軟善,永沙呀法失,yumšaq yavaš
158,徒,沙必,xabe šabï | šabï
159,哭,洗答以喇,seġdap yeġlap | sïɣdap yïɣlap | sïɣtap yïɣlap
160,哭,洗答以喇,seġdap yeġlap | sïɣdap yïɣlap | sïɣtap yïɣlap
161,謹,阿兒信古祿,ərksingülük ärksingülük ärksingülük
162,市廛,把撒兒,bazar bazar bazar
163,一,必兒,bir | bir | bir
164,冰,木思,muz | muz | muz
165,西瓜,哈兒卜思,ḳarbuz | qarbuz | qarbuz
166,上,玉思敦,üstün üstün üstün
167,切,克思,kəs | käs | käs
168,綿子,必答都,bedadu | bïdadu | bïtatu
169,烏木,阿必怒思,abenuz | abïnuz | abïnus
170,皮,塔力,təri | täri | täri
171,墨,脉克,məkə mäkä mäkä
172,鎖,撒,sa | sa | sa
173,薄,羽哈,yuḳ-a yuq-a yuq-a
174,法,煖察,nomqa | nomča | nom-ča
175,狗,亦,it | ït | it
176,生,亦,yik | yig | yig
177,腿,卜,but | but | but
178,牛,兀,ud | ud | ud
179,磁器,尺泥哈呼,qene ḳapḳu čïnï qapqu | čini qabqu
180,怠惰,襖酸省答,osol semdaḳ osul sïmdaq osul sïmtaɣ
181,藩籬,阿必,abeḳ abïq | abïq
182,舖面,克必,kəbit käbit käbit
183,五,必失,bix | biš | biš
184,石,塔失,tax | taš | taš
185,走,克,kəqti (ḳaqte) käčti qäčtï
186,喜,塞問尺,səwinq | säwinč | sävinč
187,湯瓶,阿卜察麻,abqam-a | abčam-a | abčam-a
188,胡椒,母兒察,murq | murč | murč
189,罟罟帽,土馬哈卜兒克,tumaq bürkä tomaɣ-a börk
190,諸,哈麻,ḳamaḳ | qamaq | qamaɣ
191,哭,洗答以喇,seġdap yeġlap | sïɣdap yïɣlap | sïɣtap yïɣlap
40,差遣,永設,yumxap | yumšap | yumšap
192,湯,淑兒伯,xorpa | šorpa | šorba
