source_doc,gloss_zh,chinese,mongolian,n_chars,n_syl
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,地名,合剌合納,Qaraqana,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,下着,保兀周,baγ̇užu,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,有時時,不恢突兒,büküi-dür,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,再,巴撒,basa,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,分離着,合合察周,qaγačažu,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,種名的,主兒乞訥,Žurkin-u,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名的,莎兒合禿主兒乞因,Sorqatu-Žurki-jin,8,6
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,兒子,可溫,köġün,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,撒察別乞,Sača-Beki,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,泰出,Taiču,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,兩箇,豁牙兒,qojar,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名的,捏坤太子因,Nekün-Taiši-jin,5,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,忽察兒別乞,Qučar-Beki,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名皇帝的,忽禿剌合訥,Qutula-Qān-u,5,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,阿壇斡惕赤斤,Altan-Ödčigin,6,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,這的每,額迭,ede,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,動着,歌多勒周,ködölžü,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名行,帖木只泥,Temüžin-i,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,地名行,阿亦勒合剌合納荅,Ali-Qaraqana-da,8,7
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,相合,捏亦連,neilen,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,下了,保兀罷,baγ̇uba,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,自那裏,田迭扯,Tendēče,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,起着,耨兀周,neġüžü,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,地名,古列勒古,Kürelkü,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,內,朶脫剌,dotora,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,河名,桑沽兒,Seṅgür,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,地名的,合剌主魯格訥,Qara-Žürügen-ü,6,6
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,海子名,闊闊納浯兒,Kökö-Naγ̇ur,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,阿勒壇,Altan,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,忽察兒,Qučar,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,共,不侖,bulun,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,商量着,額耶禿勒都周,ejetüldüžü,6,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名行,帖木只捏,Temüžin-e,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,說,嗚詁列論,ügülerün,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,你行,赤馬冝,Čima-ji,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,皇帝,罕,qān,1,1
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,敎做咱,孛勒合牙,bolγaja,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,做漢,孛魯阿速,boluγ̇asu,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,也,巴,ba,1,1
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,多,斡欒,Olon,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,敵行,荅因突兒,dain-dur,4,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,頭哨,阿勒斤赤,alginči,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,奔着,兀勒周,qaγ̇ulžu,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,顏,汪格,önge,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,好,撒因,sain,2,1
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,女子,斡勤,ökin,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,娘子,合屯,qatun,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,宮室,斡兒朶,ordo,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,房子自的行,格兒禿里顏,ger-tür-jen,5,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,入着,斡羅周,orožu,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,得,斡勒周,olžu,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,將來着,阿卜赤剌周,abčiražü,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,與,斡克速,ögsü,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,邦,合里,Qari,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,百姓的,亦兒格訥,irgen-ü,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,聰,合察兒,qačar,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,美,豁阿,γoγ̇a,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,女子,斡乞,öki,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,臀節,合兒含,qarγam,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,騸馬,阿黑塔,aγta,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,敎點着,合塔剌兀周,qataraγ̇ulžu,5,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,將來着,阿赤剌周,abčiražü,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,與,斡速,ögsü,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,狡,斡羅阿,Oroγ̇a,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,野獸,戈劣額孫,göreġesün,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,打固呵,阿巴剌阿速,abalaγ̇asu,5,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,首先出去圍着,兀禿剌周,uturažu,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,曠野,客額侖,Keġer-ün,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,野獸的,戈劣額速訥,göreġešün-ü,5,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,肚皮,客額里,keġeli,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,他的,亦訥,in-ü,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,一幷,你客帖列,nigetele,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,擠着,失合周,šiγažu,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,崖的,忽訥,Gun-u,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,腿子,忽牙,γuja,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,與,斡,ögsü,1,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,厮殺的,合惕忽勒都灰,Qadqulduqui,6,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,日,兀都兒,üdür,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,號令,合剌,qala,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,你的,赤訥,čin-u,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,別,不失,buši,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,做呵,孛勒合阿速,bolγaγ̇asu,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,家活行,合里失里迭扯,qaru-širi-dēče,6,6
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,妻行,額篾迭扯,eme-dēče,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,俺的,馬訥,man-u,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,敎分離着,合合察兀勒周,qaγačaγ̇ulžu,6,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,黑,合剌,qara,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,頭,帖里兀,teriġü,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,地面行,合札兒闊雪兒途兒,γažar-köšür-tür,8,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,撇着,格周,gežü,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,去,斡惕,od,2,1
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,太平,昻客,Eṅke,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,商量,額耶,eje,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,壞呵,厄迭額速,ebdeġesü,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,家子每,額列思,eres,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,家活處,合剌荅察,hara-dāča,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,妻,額篾,eme,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,子處,可兀迭扯,köġü-dēče,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,分離着,希里扯兀勒周,hiričeγ̇ülžü,6,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,主,額者,eže,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,無,兀該,ügei,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,地行,合札剌,γažar-a,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,只這般,額堆,Edüi,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,言語,兀格,üge,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,議定着,巴剌都周,baraldužu,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,自這般,額因,ein,2,1
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,盟,阿蠻,aman,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,誓着,阿勒荅周,aldažu,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,太祖帝號,成吉思,Čiṅgis,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,皇帝,合罕,Qaγan,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,麽道,客延,keġen,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,名着,捏列亦抽,nereidčü,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,敎做了,孛合罷,bolγaba,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,做了,孛魯阿惕,boluγ̇ad,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名的,孛斡兒出因,Boγ̇orču-jin,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,弟,迭兀,deġü,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,斡歌來徹兒必,Ögölei-Čerbi,6,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,箭筒,豁兒,qor,2,1
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,帶了,阿撒罷,aγsaba,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,合赤溫脫忽剌溫,Qačiγ̇un-Toquraγ̇un,7,7
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,哲台,Žetei,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,多豁勒忽徹兒必,Doqolqu-Čerbi,7,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,兄,阿合,aqa,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,汪古兒,Öṅgür,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,雪亦客禿徹兒必,Süiketü-Čerbi,7,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,合荅安荅勒都兒罕,Qadaγ̇an-Daldurqan,8,6
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,三箇,忽兒班,γurban,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,淸早的,馬納合侖,Manaγar-un,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,飮,溫丹,undan,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,休敎,不,bu,1,1
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,缺少了,篾古迭兀勒速該,meküdeġülsüġei,7,6
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,晩夕的,兀迭因,Üde-jin,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,怠慢了,斡莎勒荅速孩,osoldasuγai,6,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,厨子,保兀兒臣,baγ̇určin,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,做了,孛勒罷,bolba,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,迭該,Degei,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,二歲,失列古,Šilegü,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,羯羊,亦兒格,irge,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,湯,暑漣,sülen,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,做着,孛勒合周,bolγažu,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,淸早,馬納合兒,manaγar,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,缺了,篾古迭速,meküdešü,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,宿的時,豁那黑途兒,Qonoγ-tur,5,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,落後了,豁只荅速,qožidasu,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,花色,阿剌黑赤兀惕,Alaγčiγ̇ud,6,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,羊每行,豁紉的,qonid-i,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,牧放着,阿都兀剌周,aduγ̇ulažu,5,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,車底,阿藍,alam,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,敎滿了,都兀兒格速,düġürgesü,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,黄色,晃豁黑赤兀惕,Qoṅγoγčiγ̇ud,6,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,圈子,豁團,qoton,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,饞,豁斡闌察兒,Qoγ̇olančar,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,歹,卯危,maγ̇ui,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,有來,不列額,büleġe,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,我,必,bi,1,1
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,羊每,豁紉惕,Qonid,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,白腸,管只牙孩,güžijesün,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,喫,亦迭速,idesü,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,羊每,豁紉惕,qonid,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,牧放了,阿都兀剌罷,aduγ̇ulaba,5,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,弟,迭兀,Deġü,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,古出沽兒,Küčügür,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,鎖有的,搠斡兒合台,Soγ̇orγatai,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,車子行,帖兒格泥,tergen-i,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,車轄,赤兀,čiġü,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,敎倒了,赤兀迭兀勒速,čiġüdeġülsü,6,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,有的,騰吉思格台,teṅgisgetei,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,車路,帖兒格兀兒,tergeġür,5,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,敎壞,帖兀,teġü-,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,了,列兀勒速,reġülšü,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,說着,客額周,keġežü,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,房子,格兒,ger,2,1
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,車子,帖兒堅,tergen,3,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,整治,多牙速,dojasu,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,說了,客額罷,keġebe,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,多歹扯兒必,Dodai-Čerbi,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人口行,格兒堅禿惕合里,gergentüd-qar-i,7,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,管攝,把撒阿剌速孩,basaγ̇alasuγai,6,6
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,忽必來,Qubilai,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,赤勒古台,Čilgütei,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,合兒孩脫忽剌溫,Qarγai-Toquraγ̇un,7,6
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,三箇行,忽兒班泥,γurban-i,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名一同,合撒兒魯阿,Qasar-luγ̇a,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,共,孛侖,bolun,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,刀每,兀勒都思,üldüs,4,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,帶着,阿黑撒周,aγsažu,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,氣力逞每行,古出兒格古泥,küčürgekün-i,6,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,項頸每,古主兀惕,güžüġüd,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,他的,阿訥,an-u,2,2
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,截斷每,輕古里惕坤,kingüridkün,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,雄勇逞的行,斡抹兒合忽泥,omor-γaqun-i,6,5
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,胷每,斡抹里兀,omoriγ̇ud,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,,汪剌只惕渾,oṅlažidqun,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,別勒古台,Belgütei,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,合剌勒歹脫忽剌溫,Qaraldai-Toquraγ̇un,8,7
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,兩箇,豁牙里,qojar-i,3,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,敎拿,把里禿孩,barituγai,4,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,籠馬人,阿黑塔臣,aγtačin,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,做者,孛勒禿孩,boltuγai,4,3
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,種名,泰亦赤兀歹,Taičiγ̇udai,5,4
c10_yin_yi_meng_wen_yuan_chao_mi_shi_juan_san_3.xhtml,人名,忽圖,Qutu,2,2
