trad,simp,skt,n_chars,n_syl,n_aligned,char_syl_ratio,phon_score,align,pos,label
妙奢摩他,妙奢摩他,śamatha,4,3,3,1.333,1.0,off_by_one,noun,transcription
舍摩他,舍摩他,śamatha,3,3,3,1.0,1.0,exact,noun,transcription
舍摩陀,舍摩陀,śamatha,3,3,3,1.0,1.0,exact,noun,transcription
奢摩陀,奢摩陀,śamatha,3,3,3,1.0,1.0,exact,noun,transcription
摩訶波闍波提,摩诃波阇波提,mahāprajāpatī,6,6,6,1.0,1.0,exact,proper noun,transcription
班智達,班智达,paṇḍita,3,3,3,1.0,1.0,exact,noun,transcription
雨際外道,雨际外道,varṣagaṇa,4,4,4,1.0,1.0,exact,proper noun,transcription
刪迦羅,删迦罗,saṃskāra,3,3,3,1.0,1.0,exact,noun,transcription
僧娑迦羅,僧娑迦罗,saṃskāra,4,3,3,1.333,1.0,off_by_one,noun,transcription
那落迦,那落迦,naraka,3,3,3,1.0,1.0,exact,proper noun,transcription
拏吉寧,拏吉宁,ḍākinī,3,3,3,1.0,1.0,exact,noun,transcription
拏吉尼,拏吉尼,ḍākinī,3,3,3,1.0,1.0,exact,noun,transcription
吒枳尼,吒枳尼,ḍākinī,3,3,3,1.0,1.0,exact,noun,transcription
吒吉尼,吒吉尼,ḍākinī,3,3,3,1.0,1.0,exact,noun,transcription
阿耨多羅,阿耨多罗,anuttara,4,4,4,1.0,1.0,exact,adjective,transcription
摩訶薩埵,摩诃萨埵,mahāsattva,4,4,4,1.0,1.0,exact,noun,transcription
摩伽羅,摩伽罗,makara,3,3,3,1.0,1.0,exact,noun,transcription
摩利支,摩利支,marīcī,3,3,3,1.0,1.0,exact,proper noun,transcription
曼殊室利,曼殊室利,mañjuśrī,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
捫打勒,扪打勒,maṇḍala,3,3,3,1.0,1.0,exact,noun,transcription
曼特羅,曼特罗,maṇḍala,3,3,3,1.0,1.0,exact,noun,transcription
曼陀羅,曼陀罗,maṇḍala,3,3,3,1.0,1.0,exact,noun,transcription
曼拏羅,曼拏罗,maṇḍala,3,3,3,1.0,1.0,exact,noun,transcription
僧竭支,僧竭支,saṅkakṣikā,3,4,3,0.75,1.0,off_by_one,noun,transcription
僧迦支,僧迦支,saṅkakṣikā,3,4,3,0.75,1.0,off_by_one,noun,transcription
僧腳差,僧脚差,saṅkakṣikā,3,4,3,0.75,1.0,off_by_one,noun,transcription
薩達摩,萨达摩,saddharma,3,3,3,1.0,1.0,exact,proper noun,transcription
三昧耶戒,三昧耶戒,samaya,4,3,3,1.333,1.0,off_by_one,noun,transcription
三摩耶戒,三摩耶戒,samaya,4,3,3,1.333,1.0,off_by_one,noun,transcription
烏樞沙摩,乌枢沙摩,ucchuṣma,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
摩訶斫羯羅,摩诃斫羯罗,mahācakra,5,4,4,1.25,1.0,off_by_one,proper noun,transcription
氷揭羅,氷揭罗,piṅgala,3,3,3,1.0,1.0,exact,proper noun,transcription
氷伽羅,氷伽罗,piṅgala,3,3,3,1.0,1.0,exact,proper noun,transcription
氷揭羅天,氷揭罗天,piṅgala,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
氷迦羅天,氷迦罗天,piṅgala,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
氷誐羅天,氷誐罗天,piṅgala,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
氷羯羅天,氷羯罗天,piṅgala,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
常求利,常求利,jāṅgulī,3,3,3,1.0,1.0,exact,proper noun,transcription
常瞿梨,常瞿梨,jāṅgulī,3,3,3,1.0,1.0,exact,proper noun,transcription
陀那鉢底,陀那钵底,dānapati,4,4,4,1.0,1.0,exact,noun,transcription
陀那婆,陀那婆,dānapati,3,4,3,0.75,1.0,off_by_one,noun,transcription
金毘羅,金毘罗,kumbhīra,3,3,3,1.0,1.0,exact,noun,transcription
金波羅,金波罗,kumbhīra,3,3,3,1.0,1.0,exact,noun,transcription
禁毘羅,禁毘罗,kumbhīra,3,3,3,1.0,1.0,exact,noun,transcription
宮毘羅,宫毘罗,kumbhīra,3,3,3,1.0,1.0,exact,noun,transcription
金毘羅陀,金毘罗陀,kumbhīra,4,3,3,1.333,1.0,off_by_one,noun,transcription
金毘羅神,金毘罗神,kumbhīra,4,3,3,1.333,1.0,off_by_one,noun,transcription
阿闍黎,阿阇黎,ācārya,3,3,3,1.0,1.0,exact,noun,transcription
阿舍梨,阿舍梨,ācārya,3,3,3,1.0,1.0,exact,noun,transcription
阿闍棃,阿阇棃,ācārya,3,3,3,1.0,1.0,exact,noun,transcription
那羅延那天,那罗延那天,nārāyaṇa,5,4,4,1.25,1.0,off_by_one,proper noun,transcription
那羅野拏天,那罗野拏天,nārāyaṇa,5,4,4,1.25,1.0,off_by_one,proper noun,transcription
商羯羅,商羯罗,śaṃkara,3,3,3,1.0,1.0,exact,proper noun,transcription
商羯羅天,商羯罗天,śaṃkara,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
賞迦羅,赏迦罗,śaṃkara,3,3,3,1.0,1.0,exact,proper noun,transcription
俱吠濫,俱吠滥,kubera,3,3,3,1.0,1.0,exact,proper noun,transcription
俱里劍,俱里剑,kulika,3,3,3,1.0,1.0,exact,proper noun,transcription
古力迦,古力迦,kulika,3,3,3,1.0,1.0,exact,proper noun,transcription
瞿梨伽羅,瞿梨伽罗,kulika,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
俱里劍,俱里剑,kulika,3,3,3,1.0,1.0,exact,proper noun,transcription
摩訶泮尼,摩诃泮尼,mahāphaṇi,4,4,4,1.0,1.0,exact,proper noun,transcription
薩陀難陀,萨陀难陀,sadānanta,4,4,4,1.0,1.0,exact,proper noun,transcription
阿舍棃,阿舍棃,ācārya,3,3,3,1.0,1.0,exact,noun,transcription
阿闍梨,阿闍梨,ācārya,3,3,3,1.0,1.0,exact,noun,transcription
阿遮利耶,阿遮利耶,ācārya,4,3,3,1.333,1.0,off_by_one,noun,transcription
牟呼栗多,牟呼栗多,muhūrta,4,3,3,1.333,1.0,off_by_one,noun,transcription
怛剎那,怛刹那,tatkṣaṇa,3,3,3,1.0,1.0,exact,noun,transcription
三麼多,三么多,samatā,3,3,3,1.0,1.0,exact,noun,transcription
阿奢羅曩,阿奢罗曩,acalanātha,4,5,4,0.8,1.0,off_by_one,proper noun,transcription
阿說他樹,阿说他树,aśvattha,4,3,3,1.333,1.0,off_by_one,noun,transcription
阿說他樹,阿说他树,aśvattha,4,3,3,1.333,1.0,off_by_one,noun,transcription
阿輸他,阿输他,aśvattha,3,3,3,1.0,1.0,exact,noun,transcription
閼說他,阏说他,aśvattha,3,3,3,1.0,1.0,exact,noun,transcription
阿維羅提,阿维罗提,abhirati,4,4,4,1.0,1.0,exact,proper noun,transcription
阿比羅提,阿比罗提,abhirati,4,4,4,1.0,1.0,exact,proper noun,transcription
曼殊師利,曼殊师利,mañjuśrī,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
滿祖室哩,满祖室哩,mañjuśrī,4,3,3,1.333,1.0,off_by_one,proper noun,transcription
伊舍尼,伊舍尼,iśāna,3,3,3,1.0,1.0,exact,proper noun,transcription
伊舍那方,伊舍那方,iśāna,4,3,3,1.333,1.0,off_by_one,noun,transcription
伊舍尼方,伊舍尼方,iśāna,4,3,3,1.333,1.0,off_by_one,noun,transcription
央具梨,央具梨,aṅguli,3,3,3,1.0,1.0,exact,noun,transcription
毘俱胝,毘俱胝,bhṛkuṭī,3,3,3,1.0,1.0,exact,proper noun,transcription
鉢胤遇,钵胤遇,priyaṅgu,3,3,3,1.0,1.0,exact,noun,transcription
不那利,不那利,puṇḍarīka,3,4,3,0.75,1.0,off_by_one,noun,transcription
鉢孕遇,钵孕遇,priyaṅgu,3,3,3,1.0,1.0,exact,noun,transcription
忙莽雞,忙莽鸡,māmakī,3,3,3,1.0,1.0,exact,proper noun,transcription
忙忙雞,忙忙鸡,māmakī,3,3,3,1.0,1.0,exact,proper noun,transcription
忙莫計,忙莫计,māmakī,3,3,3,1.0,1.0,exact,proper noun,transcription
莽摩計,莽摩计,māmakī,3,3,3,1.0,1.0,exact,proper noun,transcription
摩莫枳,摩莫枳,māmakī,3,3,3,1.0,1.0,exact,proper noun,transcription
忙莽計,忙莽计,māmakī,3,3,3,1.0,1.0,exact,proper noun,transcription
莽莫枳,莽莫枳,māmakī,3,3,3,1.0,1.0,exact,proper noun,transcription
摩磨雞,摩磨鸡,māmakī,3,3,3,1.0,1.0,exact,proper noun,transcription
摩莫雞,摩莫鸡,māmakī,3,3,3,1.0,1.0,exact,proper noun,transcription
芬陀利,芬陀利,puṇḍarīka,3,4,3,0.75,1.0,off_by_one,noun,transcription
悉怛多鉢怛羅,悉怛多钵怛罗,sitatapatra,6,5,5,1.2,1.0,off_by_one,phrase,transcription
遮文茶,遮文茶,cāmuṇḍā,3,3,3,1.0,1.0,exact,proper noun,transcription
左悶拏,左闷拏,cāmuṇḍā,3,3,3,1.0,1.0,exact,proper noun,transcription
左問拏,左问拏,cāmuṇḍā,3,3,3,1.0,1.0,exact,proper noun,transcription
漫茶羅,漫茶罗,maṇḍala,3,3,3,1.0,1.0,exact,noun,transcription
曼吒羅,曼吒罗,maṇḍala,3,3,3,1.0,1.0,exact,noun,transcription
蔓陀羅,蔓陀罗,maṇḍala,3,3,3,1.0,1.0,exact,noun,transcription
憍尸迦,憍尸迦,kauśika,3,3,3,1.0,1.0,exact,proper noun,transcription
盧遮那,卢遮那,vairocana,3,4,3,0.75,1.0,off_by_one,proper noun,transcription
拔難陀,拔难陀,upananda,3,4,3,0.75,1.0,off_by_one,proper noun,transcription
髻設尼,髻设尼,keśinī,3,3,3,1.0,1.0,exact,proper noun,transcription
計設尼,计设尼,keśinī,3,3,3,1.0,1.0,exact,proper noun,transcription
繼室尼,继室尼,keśinī,3,3,3,1.0,1.0,exact,proper noun,transcription
優波髻設尼,优波髻设尼,upakeśinī,5,5,5,1.0,1.0,exact,proper noun,transcription
優婆髻設尼,优婆髻设尼,upakeśinī,5,5,5,1.0,1.0,exact,proper noun,transcription
烏波髻施尼,乌波髻施尼,upakeśinī,5,5,5,1.0,1.0,exact,proper noun,transcription
優婆計設尼,优婆计设尼,upakeśinī,5,5,5,1.0,1.0,exact,proper noun,transcription
阿羯沙尼,阿羯沙尼,ākarṣaṇī,4,4,4,1.0,1.0,exact,proper noun,transcription
迦,迦,ka,1,1,1,1.0,1.0,exact,phonetic,transcription
葛,葛,ka,1,1,1,1.0,1.0,exact,phonetic,transcription
揭,揭,ka,1,1,1,1.0,1.0,exact,phonetic,transcription
柯,柯,ka,1,1,1,1.0,1.0,exact,phonetic,transcription
羯,羯,ka,1,1,1,1.0,1.0,exact,phonetic,transcription
箇,箇,ka,1,1,1,1.0,1.0,exact,phonetic,transcription
各,各,ka,1,1,1,1.0,1.0,exact,phonetic,transcription
紺,绀,ka,1,1,1,1.0,1.0,exact,phonetic,transcription
腳,脚,ka,1,1,1,1.0,1.0,exact,phonetic,transcription
呿,呿,kha,1,1,1,1.0,1.0,exact,phonetic,transcription
渴,渴,kha,1,1,1,1.0,1.0,exact,phonetic,transcription
喀,喀,kha,1,1,1,1.0,1.0,exact,phonetic,transcription
吃,吃,kha,1,1,1,1.0,1.0,exact,phonetic,transcription
哦,哦,ga,1,1,1,1.0,1.0,exact,phonetic,transcription
誐,誐,ga,1,1,1,1.0,1.0,exact,phonetic,transcription
伽,伽,gha,1,1,1,1.0,1.0,exact,phonetic,transcription
伽,伽,ga,1,1,1,1.0,1.0,exact,phonetic,transcription
遮,遮,ca,1,1,1,1.0,1.0,exact,phonetic,transcription
嗟,嗟,ca,1,1,1,1.0,1.0,exact,phonetic,transcription
左,左,ca,1,1,1,1.0,1.0,exact,phonetic,transcription
者,者,ca,1,1,1,1.0,1.0,exact,phonetic,transcription
酌,酌,ca,1,1,1,1.0,1.0,exact,phonetic,transcription
車,车,cha,1,1,1,1.0,1.0,exact,phonetic,transcription
社,社,jha,1,1,1,1.0,1.0,exact,phonetic,transcription
吒,吒,ṭa,1,1,1,1.0,1.0,exact,phonetic,transcription
咤,咤,ṭha,1,1,1,1.0,1.0,exact,phonetic,transcription
哳,哳,ṭa,1,1,1,1.0,1.0,exact,phonetic,transcription
侘,侘,ṭa,1,1,1,1.0,1.0,exact,phonetic,transcription
咤,咤,ṭa,1,1,1,1.0,1.0,exact,phonetic,transcription
他,他,tha,1,1,1,1.0,1.0,exact,phonetic,transcription
拏,拏,ḍa,1,1,1,1.0,1.0,exact,phonetic,transcription
多,多,ta,1,1,1,1.0,1.0,exact,phonetic,transcription
怛,怛,ta,1,1,1,1.0,1.0,exact,phonetic,transcription
他,他,ṭha,1,1,1,1.0,1.0,exact,phonetic,transcription
陀,陀,dha,1,1,1,1.0,1.0,exact,phonetic,transcription
拕,拕,dha,1,1,1,1.0,1.0,exact,phonetic,transcription
達,达,dha,1,1,1,1.0,1.0,exact,phonetic,transcription
波,波,pa,1,1,1,1.0,1.0,exact,phonetic,transcription
頗,颇,pha,1,1,1,1.0,1.0,exact,phonetic,transcription
葩,葩,pha,1,1,1,1.0,1.0,exact,phonetic,transcription
破,破,pha,1,1,1,1.0,1.0,exact,phonetic,transcription
麼,么,ba,1,1,1,1.0,1.0,exact,phonetic,transcription
摩,摩,ma,1,1,1,1.0,1.0,exact,phonetic,transcription
婆,婆,bha,1,1,1,1.0,1.0,exact,phonetic,transcription
野,野,ya,1,1,1,1.0,1.0,exact,phonetic,transcription
夜,夜,ya,1,1,1,1.0,1.0,exact,phonetic,transcription
耶,耶,ya,1,1,1,1.0,1.0,exact,phonetic,transcription
羅,罗,ra,1,1,1,1.0,1.0,exact,phonetic,transcription
洛,洛,ra,1,1,1,1.0,1.0,exact,phonetic,transcription
呵,呵,ha,1,1,1,1.0,1.0,exact,phonetic,transcription
奢,奢,śa,1,1,1,1.0,1.0,exact,phonetic,transcription
沙,沙,ṣa,1,1,1,1.0,1.0,exact,phonetic,transcription
娑,娑,sa,1,1,1,1.0,1.0,exact,phonetic,transcription
薩,萨,sa,1,1,1,1.0,1.0,exact,phonetic,transcription
颯,飒,sa,1,1,1,1.0,1.0,exact,phonetic,transcription
三,三,sa,1,1,1,1.0,1.0,exact,phonetic,transcription
訶,诃,ha,1,1,1,1.0,1.0,exact,phonetic,transcription
仰,仰,ṅa,1,1,1,1.0,1.0,exact,phonetic,transcription
俄,俄,ṅa,1,1,1,1.0,1.0,exact,phonetic,transcription
誐,誐,ṅa,1,1,1,1.0,1.0,exact,phonetic,transcription
覲,觐,ṅa,1,1,1,1.0,1.0,exact,phonetic,transcription
拏,拏,ṇa,1,1,1,1.0,1.0,exact,phonetic,transcription
那,那,na,1,1,1,1.0,1.0,exact,phonetic,transcription
麼,么,ma,1,1,1,1.0,1.0,exact,phonetic,transcription
奔那伽,奔那伽,puṣpanāga,3,4,3,0.75,1.0,off_by_one,noun,transcription
計娑羅華,计娑罗华,kesara,4,3,3,1.333,1.0,off_by_one,noun,transcription
計娑羅,计娑罗,kesara,3,3,3,1.0,1.0,exact,noun,transcription
雞薩羅,鸡萨罗,kesara,3,3,3,1.0,1.0,exact,noun,transcription
旃簸迦,旃簸迦,campaka,3,3,3,1.0,1.0,exact,noun,transcription
瞻博迦,瞻博迦,campaka,3,3,3,1.0,1.0,exact,noun,transcription
占博迦,占博迦,campaka,3,3,3,1.0,1.0,exact,noun,transcription
底羅劍,底罗剑,tilaka,3,3,3,1.0,1.0,exact,noun,transcription
鉢吒羅,钵吒罗,pāṭala,3,3,3,1.0,1.0,exact,noun,transcription
劫布羅,劫布罗,karpūra,3,3,3,1.0,1.0,exact,noun,transcription
羯布羅,羯布罗,karpūra,3,3,3,1.0,1.0,exact,noun,transcription
布利迦,布利迦,pūrikā,3,3,3,1.0,1.0,exact,noun,transcription
末塗失囉,末涂失啰,madhuśīr,4,3,3,1.333,1.0,off_by_one,noun,transcription
播鉢吒,播钵吒,parpaṭa,3,3,3,1.0,1.0,exact,noun,transcription
迦羅奢,迦罗奢,kalaśa,3,3,3,1.0,1.0,exact,noun,transcription
阿三迷,阿三迷,asama,3,3,3,1.0,1.0,exact,adjective,transcription
三曼多,三曼多,samanta,3,3,3,1.0,1.0,exact,adjective,transcription
弩蘖帝,弩蘖帝,anvāgati,3,4,3,0.75,1.0,off_by_one,verb,transcription
迦羅羅,迦罗罗,kalala,3,3,3,1.0,1.0,exact,noun,transcription
乾陀羅,乾陀罗,gandharva,3,3,3,1.0,1.0,exact,noun,transcription
怛他蘖多,怛他蘖多,tathāgata,4,4,4,1.0,1.0,exact,noun,transcription
素怛弩,素怛弩,sutanu,3,3,3,1.0,1.0,exact,adjective,transcription
緊,紧,kim,1,1,1,1.0,1.0,exact,phonetic,transcription
伽伽那,伽伽那,gagana,3,3,3,1.0,1.0,exact,noun,transcription
茶吉尼,茶吉尼,ḍākinī,3,3,3,1.0,1.0,exact,noun,transcription
毘舍支,毘舍支,piśāca,3,3,3,1.0,1.0,exact,noun,transcription
毘舍遮,毘舍遮,piśāca,3,3,3,1.0,1.0,exact,noun,transcription
毘舍遮鬼,毘舍遮鬼,piśāca,4,3,3,1.333,1.0,off_by_one,noun,transcription
波羅蜜多,波罗蜜多,pāramitā,4,4,4,1.0,1.0,exact,noun,transcription
尸羅波羅蜜,尸罗波罗蜜,śīla-pāramitā,5,6,5,0.833,1.0,off_by_one,phrase,transcription
禪定波羅蜜,禅定波罗蜜,dhyānapāramitā,5,6,5,0.833,1.0,off_by_one,phrase,transcription
禪那波羅蜜,禅那波罗蜜,dhyānapāramitā,5,6,5,0.833,1.0,off_by_one,phrase,transcription
迷企羅,迷企罗,mihira,3,3,3,1.0,1.0,exact,proper noun,transcription
阿素洛,阿素洛,asura,3,3,3,1.0,1.0,exact,noun,transcription
須彌盧,须弥卢,sumeru,3,3,3,1.0,1.0,exact,proper noun,transcription
拘那含牟尼佛,拘那含牟尼佛,kanakamuni,6,5,5,1.2,1.0,off_by_one,proper noun,transcription
拘那含牟尼,拘那含牟尼,kanakamuni,5,5,5,1.0,1.0,exact,proper noun,transcription
三昧耶薩埵,三昧耶萨埵,samayasattva,5,5,5,1.0,1.0,exact,noun,transcription
羅羅拏,罗罗拏,lalanā,3,3,3,1.0,1.0,exact,noun,transcription
扇底迦,扇底迦,śāntika,3,3,3,1.0,1.0,exact,noun,transcription
軍茶利,军茶利,kuṇḍalin,3,3,3,1.0,1.0,exact,proper noun,transcription
三漫多,三漫多,samanta,3,3,3,1.0,1.0,exact,adjective,transcription
軍茶里,军茶里,kuṇḍali,3,3,3,1.0,1.0,exact,noun,transcription
句吒囊吒,句吒囊吒,kuṭannaṭa,4,4,4,1.0,1.0,exact,noun,transcription
鉢孕瞿,钵孕瞿,priyaṅgu,3,3,3,1.0,1.0,exact,noun,transcription
迦畢貪,迦毕贪,kapittha,3,3,3,1.0,1.0,exact,noun,transcription
阿惟越致,阿惟越致,avaivartika,4,5,4,0.8,1.0,off_by_one,proper noun,transcription
劫波羅,劫波罗,kapāla,3,3,3,1.0,1.0,exact,noun,transcription
阿含暮,阿含暮,āgama,3,3,3,1.0,1.0,exact,proper noun,transcription
阿笈摩,阿笈摩,āgama,3,3,3,1.0,1.0,exact,proper noun,transcription
